traffic,rain,pop,dist,is_neg,deficit
3.2,62,5000,19.09,1,22
1.2,56,5000,14.97,1,11
0.52,11,15000,12.62,0,12
3.35,72,5000,29.6,0,17
2.97,1,25000,24.81,1,28
3.05,7,15000,13.61,1,18
3.2,10,5000,22.09,0,12
0.76,52,15000,8.82,0,9
1.75,99,15000,3.9,0,13
0.91,9,15000,11.22,0,10
3.52,84,25000,12.69,0,20
2.68,83,5000,1.48,1,13
1.66,7,15000,24.63,0,10
0.72,35,15000,11.42,1,15
1.59,92,15000,17.83,0,16
1.64,75,5000,3.14,1,8
3.05,13,15000,6.07,1,16
2.73,53,15000,26.8,1,25
3.61,84,25000,18.65,0,27
2.15,85,5000,28.56,0,16
0.92,20,25000,29.96,0,16
3.0,49,5000,11.78,1,15
3.16,93,5000,9.67,1,18
2.46,38,5000,25.89,0,15
3.2,19,25000,29.96,1,29
2.23,87,25000,19.26,1,27
2.33,86,25000,24.06,1,31
2.0,6,25000,23.67,1,25
0.59,8,15000,11.3,0,7
0.88,0,15000,17.65,1,15
0.61,25,15000,25.16,0,11
2.73,37,5000,20.96,1,16
1.6,37,15000,1.61,1,15
2.28,60,5000,10.76,0,5
3.68,43,25000,5.19,1,23
1.37,85,5000,7.76,0,7
1.94,43,5000,27.26,0,12
3.14,73,15000,2.07,0,10
1.3,61,25000,7.37,0,14
0.77,5,25000,9.98,0,12
1.51,16,15000,18.89,0,13
1.06,50,25000,16.49,0,18
3.75,37,25000,7.33,1,22
3.33,23,25000,5.76,0,11
2.72,50,15000,7.87,1,20
3.55,9,25000,15.57,1,22
3.31,71,5000,8.86,1,15
1.15,20,5000,28.48,0,7
3.62,69,25000,14.45,0,21
2.39,84,15000,2.71,1,15
3.33,56,15000,22.15,0,17
3.64,38,15000,10.54,1,20
1.61,87,25000,19.95,1,24
0.89,32,25000,9.11,1,22
1.3,58,5000,17.55,0,7
1.99,17,15000,23.39,1,18
3.36,55,5000,27.91,0,22
3.51,91,5000,8.57,1,18
0.52,56,15000,10.71,0,15
2.29,95,25000,14.46,1,22
1.96,75,25000,27.89,0,22
1.28,47,5000,27.14,1,17
0.92,41,5000,3.61,0,5
1.68,26,5000,4.83,0,4
3.8,73,5000,15.37,0,17
1.63,51,15000,4.09,1,16
2.32,41,5000,11.02,1,11
2.96,31,5000,5.3,1,10
1.77,25,25000,19.45,0,14
3.9,24,25000,28.54,0,28
3.87,74,25000,29.91,1,39
1.38,22,15000,11.88,1,15
2.24,97,15000,18.37,0,17
1.55,56,25000,25.83,1,23
1.5,51,25000,4.41,0,15
0.63,86,5000,21.0,0,11
2.63,92,5000,12.86,0,12
2.26,30,15000,6.98,1,19
0.68,63,15000,12.68,0,9
1.48,70,5000,3.2,1,9
3.68,32,25000,21.17,0,25
1.34,84,5000,8.33,1,14
1.01,1,15000,10.03,1,12
2.21,17,15000,4.51,0,8
3.95,46,5000,26.08,0,17
1.35,32,5000,15.31,0,3
2.85,97,5000,17.59,0,15
3.17,83,15000,17.51,1,25
1.33,34,25000,12.9,1,23
3.05,50,5000,6.58,1,15
1.79,17,15000,22.61,1,20
2.71,87,15000,4.68,1,21
2.72,71,15000,4.01,0,12
2.38,29,5000,21.59,0,10
0.82,43,5000,7.06,1,13
3.42,52,25000,9.9,0,19
1.62,9,15000,14.78,0,10
1.15,86,5000,14.03,0,6
0.64,51,15000,21.55,0,7
2.57,48,15000,19.08,0,17
2.87,10,25000,19.69,0,20
0.56,65,5000,21.71,1,14
2.29,57,5000,9.49,0,10
1.29,89,15000,10.35,0,11
2.76,35,15000,13.7,1,16
1.11,32,25000,9.92,1,20
2.92,46,25000,29.56,1,34
1.85,12,25000,24.61,0,18
3.78,39,25000,5.77,1,18
0.98,88,25000,1.16,0,15
1.69,67,25000,2.24,1,18
0.9,41,15000,8.08,0,6
3.74,18,25000,4.31,0,13
3.57,81,15000,16.47,1,25
1.4,93,15000,25.88,0,16
2.81,18,5000,22.37,0,13
3.36,57,15000,7.25,0,11
2.44,22,15000,12.58,0,12
2.35,53,25000,15.73,1,23
1.35,79,15000,24.5,1,20
0.83,64,25000,25.33,1,23
3.64,11,25000,27.38,0,28
3.65,23,25000,15.77,1,26
2.72,33,5000,21.13,1,20
1.69,52,25000,4.24,0,14
1.72,7,15000,17.39,1,18
3.04,17,25000,8.21,1,23
3.64,56,25000,13.52,1,30
3.6,4,25000,19.39,0,23
3.23,25,5000,8.45,1,13
2.75,29,15000,2.51,1,17
0.79,53,5000,1.3,1,12
1.07,12,15000,1.64,0,6
3.64,82,5000,1.24,0,8
2.62,28,15000,4.2,1,13
0.53,2,5000,7.95,1,10
0.86,89,25000,7.42,1,25
2.82,57,5000,29.62,0,19
0.52,75,5000,9.87,0,9
1.06,1,25000,4.7,1,16
2.42,74,25000,16.82,1,27
2.92,27,15000,25.88,0,20
2.78,81,15000,20.66,0,18
1.28,76,15000,9.59,1,19
2.99,85,5000,17.29,0,15
1.33,75,15000,21.73,1,21
1.64,1,5000,22.12,1,11
3.11,6,5000,20.33,0,14
2.77,25,15000,26.25,1,25
3.47,89,15000,26.23,1,30
2.8,87,5000,17.79,1,20
2.49,75,25000,13.47,1,25
0.83,15,25000,19.61,1,18
1.79,22,5000,24.73,1,18
1.43,39,15000,1.16,1,16
1.35,59,5000,29.77,0,13
3.91,72,5000,6.3,0,12
1.88,31,15000,14.64,1,18
3.62,14,25000,26.29,0,22
2.71,12,5000,7.53,1,13
3.28,4,25000,14.83,1,25
2.26,74,25000,4.84,0,18
2.52,73,15000,12.46,1,23
2.22,51,5000,6.14,1,13
1.18,76,5000,11.55,0,8
3.03,40,25000,11.83,0,19
1.48,52,25000,29.8,0,14
0.59,49,15000,29.85,0,12
2.76,14,25000,4.33,0,14
1.12,6,15000,22.05,0,10
3.79,39,5000,2.5,1,11
3.84,27,15000,1.88,0,9
3.7,31,25000,4.05,0,16
1.8,98,5000,29.0,1,22
0.55,14,15000,28.29,1,14
3.75,99,5000,6.62,0,13
2.0,84,15000,5.69,1,21
3.88,69,25000,7.98,1,22
3.87,64,25000,15.95,1,34
3.49,3,5000,17.52,1,17
1.53,10,5000,7.43,1,12
1.85,25,5000,22.94,1,17
3.48,60,15000,9.98,1,19
1.61,36,25000,27.74,0,18
1.09,22,5000,20.04,1,13
2.45,92,5000,13.65,0,8
3.78,84,5000,23.91,1,27
2.94,90,15000,24.72,1,24
2.5,39,5000,9.42,0,8
0.84,76,5000,10.85,1,12
2.65,22,15000,28.14,1,25
3.97,15,15000,5.78,0,6
0.99,93,5000,2.22,1,10
2.31,60,5000,14.17,1,15
3.57,67,15000,24.24,0,23
3.09,79,25000,23.38,0,25
2.94,30,15000,27.67,1,28
2.96,52,25000,16.46,0,20
1.76,24,5000,3.9,1,10
1.53,43,5000,18.07,1,12
3.33,11,25000,23.57,0,22
3.34,89,15000,3.71,0,12
3.53,96,5000,6.01,0,6
3.7,91,25000,1.36,0,14
2.29,8,15000,18.22,1,20
2.26,11,25000,26.72,0,20
3.29,68,15000,20.45,0,19
2.77,53,15000,29.48,1,26
2.96,53,15000,2.83,1,12
3.29,27,15000,27.19,1,22
3.62,55,25000,24.61,1,31
1.68,98,25000,10.11,1,26
1.81,68,25000,29.23,1,27
0.83,97,25000,9.35,1,24
2.52,97,25000,26.79,1,29
0.63,76,15000,26.54,1,19
2.13,57,5000,22.97,0,11
2.4,77,5000,17.34,0,11
1.5,74,25000,4.48,1,22
2.57,41,25000,16.43,0,18
0.61,37,5000,11.35,1,8
0.63,67,15000,23.97,1,18
3.38,52,25000,22.99,1,29
1.76,32,15000,27.41,1,18
0.94,70,5000,1.43,0,4
2.33,55,5000,24.46,0,17
3.19,71,25000,28.22,1,35
1.26,50,15000,23.89,0,9
2.68,73,25000,4.78,0,15
0.8,42,5000,3.36,1,10
0.68,14,15000,1.6,1,12
2.36,37,25000,19.23,0,17
2.39,14,25000,19.26,0,19
2.73,4,25000,29.62,1,30
3.04,92,5000,12.54,1,20
3.92,82,25000,10.63,0,21
2.31,53,15000,19.11,1,22
1.63,50,25000,24.94,1,24
3.28,9,5000,28.17,1,19
1.45,11,25000,24.29,0,13
2.04,3,5000,13.37,0,5
0.77,94,5000,19.41,1,15
0.59,17,15000,25.83,0,7
3.87,79,15000,15.23,1,23
3.43,35,25000,7.28,0,15
2.94,24,5000,5.92,0,8
1.93,86,5000,1.0,0,7
1.11,75,15000,21.83,1,18
1.05,97,15000,4.22,1,18
1.38,35,25000,8.07,1,17
2.42,66,5000,9.64,0,7
3.0,8,15000,17.25,1,17
2.81,60,25000,12.54,1,25
1.48,52,5000,20.57,1,15
3.84,17,5000,2.61,1,10
3.08,42,15000,4.59,0,12
2.44,34,25000,15.48,1,21
2.64,62,15000,10.77,1,20
1.97,97,25000,9.58,0,22
1.37,77,5000,2.94,1,10
1.75,3,25000,26.98,0,14
3.15,92,25000,21.06,0,22
0.55,40,25000,4.53,0,13
0.91,44,25000,2.89,1,22
0.66,49,25000,29.27,0,19
0.64,78,15000,20.75,0,14
3.49,27,25000,13.11,0,20
2.96,41,25000,21.35,1,28
2.16,79,5000,22.93,0,15
0.84,75,25000,23.62,0,17
2.22,68,5000,14.86,0,9
2.16,97,15000,13.47,1,25
1.11,0,15000,1.32,0,9
2.02,38,25000,27.87,0,19
1.89,95,15000,18.5,1,23
2.66,89,25000,6.89,1,26
2.72,16,15000,27.67,1,25
0.66,90,25000,27.53,0,17
1.81,87,25000,29.69,0,25
2.69,34,5000,26.35,0,15
2.26,45,5000,29.94,0,13
3.5,41,5000,8.1,1,12
2.81,38,5000,25.43,0,9
1.07,89,25000,24.87,1,28
0.75,48,15000,7.7,0,8
2.75,61,25000,3.85,0,17
0.59,37,5000,29.4,0,5
2.55,22,5000,9.58,1,13
3.79,21,15000,26.26,1,29
2.51,3,5000,1.12,1,6
1.86,48,25000,1.61,1,21
2.75,58,25000,14.51,0,18
2.1,72,25000,7.92,0,17
2.41,67,25000,21.01,0,24
3.8,70,25000,17.4,0,25
1.85,86,15000,3.25,0,11
3.86,1,25000,5.72,1,23
3.67,48,5000,12.25,1,17
1.19,87,5000,6.38,0,8
0.74,94,5000,23.97,0,9
0.85,30,5000,13.07,0,3
0.56,39,15000,3.71,0,6
0.83,47,5000,15.05,1,11
2.89,50,15000,3.63,0,8
0.75,42,5000,4.74,0,4
1.62,97,15000,7.95,0,14
3.46,54,15000,25.93,0,21
0.58,87,15000,27.81,1,19
3.35,48,5000,24.96,0,16
1.49,89,15000,10.69,1,24
0.91,79,25000,8.9,1,24
2.94,56,25000,16.93,0,20
2.7,76,5000,21.93,0,15
3.57,14,25000,29.81,0,24
3.07,26,25000,4.82,0,13
3.31,67,25000,2.43,0,13
1.49,79,5000,21.14,1,18
1.12,63,5000,25.13,1,14
3.13,93,25000,25.54,1,36
3.32,29,5000,20.68,1,20
3.97,35,15000,28.67,1,29
1.94,66,25000,15.82,0,18
1.8,85,5000,27.5,0,15
3.22,85,5000,29.07,1,27
1.69,48,25000,25.57,0,19
3.76,75,5000,9.98,0,13
3.5,54,25000,6.69,1,24
2.0,84,5000,16.9,1,19
3.13,55,15000,14.14,1,21
3.14,67,25000,26.45,0,25
0.86,94,15000,3.9,1,17
3.66,43,25000,8.47,1,22
2.27,30,5000,22.8,0,11
3.39,57,15000,3.75,0,11
1.62,86,5000,10.3,1,18
3.63,52,25000,12.23,0,18
1.86,83,25000,19.06,1,23
0.54,78,25000,5.59,0,16
3.67,22,25000,25.96,1,32
0.82,27,25000,13.98,0,12
1.62,15,15000,27.59,0,15
3.83,36,25000,14.57,0,20
3.83,20,5000,8.98,1,17
2.51,78,15000,5.11,1,16
2.71,16,5000,1.11,1,8
2.07,36,25000,16.43,0,17
1.53,76,5000,4.11,0,9
1.65,18,15000,12.36,0,9
2.85,29,15000,18.09,1,22
3.13,44,15000,8.99,0,10
3.27,17,5000,6.08,1,14
3.26,77,15000,23.47,1,26
0.82,61,5000,28.46,1,16
2.23,35,25000,3.91,1,20
0.7,99,25000,5.51,1,18
2.42,83,5000,28.84,0,17
2.05,51,15000,2.1,0,8
3.61,18,5000,29.35,0,20
1.73,43,5000,1.13,0,3
0.91,6,5000,26.34,0,5
1.0,43,25000,9.91,0,16
3.17,67,5000,28.22,1,27
2.66,33,25000,10.19,0,14
0.85,65,5000,19.97,1,17
0.79,68,25000,3.32,1,15
2.95,54,5000,8.03,1,15
0.75,9,5000,23.44,1,9
3.38,95,15000,16.33,1,26
2.97,41,15000,27.91,0,20
0.78,40,5000,13.43,0,4
0.8,76,5000,26.22,0,7
3.95,68,5000,14.02,1,18
1.81,9,5000,29.4,0,11
1.8,9,15000,28.84,0,16
3.34,90,25000,10.54,1,30
3.82,59,5000,26.69,1,26
3.95,50,15000,25.58,0,24
3.14,20,5000,7.11,1,15
1.82,7,5000,19.1,1,13
0.79,64,25000,3.11,1,18
3.22,91,5000,25.26,0,23
2.45,77,5000,6.06,1,14
1.98,84,25000,3.05,1,22
3.67,29,25000,12.61,1,21
0.89,84,25000,17.73,1,22
2.22,48,25000,25.79,1,31
0.54,8,15000,29.25,0,10
2.14,16,15000,13.75,0,11
0.7,68,15000,2.75,1,18
0.92,57,5000,22.72,1,11
0.91,56,25000,17.39,0,14
2.77,61,25000,13.99,0,23
3.11,94,15000,9.97,1,21
2.54,51,5000,15.57,1,16
3.87,60,5000,10.82,0,14
1.81,39,5000,22.95,1,19
1.5,37,15000,16.77,1,15
3.54,42,5000,26.43,0,19
1.28,62,5000,16.76,0,12
3.87,18,5000,7.91,0,6
0.54,99,25000,25.68,0,16
3.89,49,15000,17.16,1,25
0.65,32,25000,7.0,1,20
3.62,12,25000,19.08,1,24
2.35,77,15000,11.37,1,14
3.98,96,25000,25.49,0,30
0.76,61,5000,14.15,0,9
2.44,92,5000,22.07,1,20
3.89,42,5000,3.77,1,11
2.33,48,5000,12.48,1,14
2.7,35,15000,29.51,0,23
2.94,9,25000,24.45,0,20
2.09,94,25000,5.64,0,18
2.7,5,5000,9.06,1,10
2.55,56,5000,10.56,1,13
3.65,0,25000,19.86,1,29
0.66,70,15000,22.95,0,15
1.48,57,25000,22.74,1,26
3.83,90,5000,15.79,0,11
3.62,20,5000,24.51,1,21
2.09,91,15000,13.68,1,21
2.67,79,25000,4.59,0,16
1.47,55,15000,17.37,0,9
1.16,86,15000,28.62,1,19
2.12,19,5000,24.0,0,9
1.74,53,25000,17.78,0,17
2.54,24,5000,19.76,0,7
0.77,27,25000,27.99,0,16
3.91,4,5000,13.42,0,10
3.95,20,5000,10.61,1,13
2.94,17,25000,29.34,1,30
2.38,46,25000,26.04,1,25
1.58,69,5000,10.37,1,14
3.35,56,25000,14.45,0,16
2.9,92,5000,13.04,1,15
1.07,18,25000,5.32,0,11
3.69,96,5000,28.78,1,27
3.38,64,5000,12.73,1,18
3.82,2,5000,26.38,0,17
3.04,41,15000,6.49,1,21
2.65,20,25000,16.89,1,23
1.96,98,5000,1.69,1,7
3.76,39,15000,23.16,1,23
3.53,66,5000,17.85,1,18
0.66,24,15000,19.14,1,22
0.59,54,5000,2.5,1,11
1.82,83,5000,7.12,0,10
3.34,51,15000,3.16,1,18
3.96,43,15000,9.38,1,17
1.03,97,25000,19.2,1,20
2.58,84,25000,17.42,1,28
1.83,55,15000,18.75,1,15
3.89,54,25000,16.93,1,31
3.45,86,15000,8.92,0,15
3.43,69,25000,8.09,1,25
2.14,76,5000,4.97,1,14
1.95,86,25000,25.62,0,23
1.46,72,5000,18.88,0,10
0.7,80,5000,6.41,1,13
3.53,65,25000,6.14,1,23
3.35,18,15000,26.32,1,23
4.0,82,5000,22.54,0,19
3.99,6,5000,20.12,0,19
2.44,62,25000,12.8,1,24
3.19,41,15000,8.6,1,20
3.81,41,15000,29.4,0,23
3.47,58,25000,24.12,0,23
1.37,19,15000,9.75,0,7
2.08,72,25000,25.58,0,19
0.95,16,25000,23.01,1,17
3.84,26,25000,9.62,0,17
2.62,46,5000,13.37,0,9
1.3,1,5000,6.39,1,11
2.85,62,5000,4.22,0,6
2.66,61,25000,21.96,1,23
1.75,99,5000,8.76,0,10
0.9,18,5000,24.78,1,8
2.85,16,5000,29.87,0,16
2.32,68,25000,3.22,1,19
3.2,38,25000,14.72,1,25
2.32,81,25000,24.26,0,20
3.48,70,5000,23.88,1,26
2.43,80,15000,23.04,1,24
2.46,38,5000,11.12,0,7
3.57,35,5000,14.16,1,14
1.91,39,25000,18.25,1,27
0.97,44,25000,29.24,0,15
0.6,3,5000,10.5,0,4
3.14,24,5000,27.77,1,20
2.67,68,15000,8.81,1,26
2.96,29,15000,29.68,1,27
1.25,75,25000,20.44,1,22
0.98,67,15000,14.44,1,19
0.55,87,15000,18.79,0,13
1.73,28,25000,8.9,1,20
2.56,72,15000,8.95,0,12
1.87,67,5000,4.29,0,7
2.03,50,15000,4.31,0,10
3.66,23,25000,11.08,0,17
1.72,13,5000,23.12,1,13
2.3,68,15000,18.63,1,19
3.24,17,5000,3.97,1,12
1.89,41,5000,25.71,0,13
2.68,56,15000,18.44,0,19
3.52,82,15000,28.86,1,31
3.82,11,25000,20.44,0,22
1.01,81,25000,6.08,1,18
3.74,16,5000,14.74,0,11
2.22,29,25000,19.81,0,19
1.4,87,5000,1.82,0,3
2.11,74,5000,1.43,0,8
3.93,98,25000,4.75,0,16
2.22,22,25000,8.3,0,13
1.65,80,25000,13.46,0,19
2.72,0,15000,15.14,1,18
1.34,78,5000,5.0,1,16
0.77,31,5000,20.53,0,7
0.95,8,5000,18.29,0,5
0.95,14,25000,9.54,1,12
1.03,27,25000,1.4,0,14
0.99,23,25000,3.25,1,15
2.74,59,25000,12.36,1,26
1.14,34,25000,5.47,1,20
1.71,85,15000,11.93,1,19
3.64,26,25000,19.22,1,30
2.16,82,5000,16.87,0,13
2.84,75,25000,7.7,0,18
1.1,19,5000,10.97,1,7
1.17,64,25000,18.81,0,17
0.64,84,25000,25.96,1,20
1.09,48,5000,22.84,0,6
1.48,0,5000,17.05,0,5
1.12,9,5000,11.51,0,7
0.81,46,5000,11.59,0,6
0.92,58,15000,26.5,0,13
2.11,95,5000,2.14,0,9
1.22,61,25000,29.65,0,17
1.77,85,25000,20.27,0,16
2.26,17,15000,20.75,1,16
2.92,45,5000,2.1,1,12
0.64,31,25000,18.56,0,15
3.3,26,15000,15.06,0,17
2.7,91,25000,4.07,0,15
0.79,17,15000,9.06,1,17
3.56,38,15000,26.82,0,26
3.72,48,5000,16.95,0,15
0.71,92,15000,12.99,1,21
1.47,81,25000,3.11,1,22
3.32,43,25000,21.71,1,29
3.12,71,5000,21.38,0,14
1.15,53,5000,18.81,1,11
1.23,94,15000,15.8,0,13
1.8,33,5000,13.58,1,13
2.2,70,25000,18.2,0,19
2.66,35,25000,7.77,0,15
1.79,17,5000,28.3,0,6
2.12,37,5000,18.08,1,17
3.12,58,5000,10.02,0,11
0.63,8,15000,14.04,0,8
1.38,72,15000,24.36,0,12
3.0,71,25000,5.69,1,23
3.63,50,15000,9.49,0,14
2.29,34,15000,20.71,0,16
2.36,81,15000,10.15,0,17
0.88,4,15000,23.98,0,9
2.07,13,25000,4.78,1,18
2.36,91,5000,23.12,0,13
1.35,29,25000,2.98,1,20
1.44,3,15000,1.37,1,14
1.82,38,5000,27.05,0,12
0.57,83,5000,17.86,1,12
1.63,63,5000,11.2,1,13
1.24,24,25000,7.75,1,15
1.65,27,5000,18.89,0,7
0.92,75,25000,15.76,1,23
3.62,65,25000,29.76,1,36
2.58,77,15000,29.51,0,22
2.88,21,15000,19.42,0,18
3.26,30,5000,13.84,1,17
2.24,22,5000,15.24,1,13
0.8,47,15000,20.79,1,15
2.38,19,25000,3.95,0,12
2.55,37,25000,10.52,1,21
3.11,54,15000,3.18,0,12
2.01,67,25000,3.13,1,21
0.95,78,15000,6.68,1,16
1.49,87,15000,15.07,0,13
1.77,88,5000,23.76,1,20
2.76,0,5000,15.08,0,10
2.5,6,15000,10.73,1,13
1.75,56,5000,3.39,0,5
3.95,94,15000,16.96,0,21
2.62,11,25000,8.87,1,21
1.33,4,25000,18.83,0,14
0.86,49,25000,29.34,1,23
1.04,41,25000,4.23,0,12
1.36,11,15000,7.15,0,6
1.06,17,25000,14.72,0,15
1.15,65,25000,29.09,1,26
1.5,73,25000,23.38,0,20
1.11,78,25000,27.05,0,20
3.64,93,15000,10.68,0,15
0.78,16,25000,29.77,1,19
2.34,67,5000,3.98,1,15
1.94,70,5000,2.54,0,7
3.94,61,5000,25.81,0,20
0.89,40,5000,27.89,1,13
1.89,94,5000,3.63,0,10
3.89,33,5000,4.29,0,3
3.53,69,15000,1.96,0,11
3.36,44,5000,4.03,0,6
1.4,57,25000,7.07,0,12
1.1,50,5000,29.13,0,13
2.84,33,15000,20.37,1,17
3.75,43,5000,23.58,0,18
2.45,14,25000,23.51,0,20
2.5,77,25000,16.52,1,24
1.48,69,15000,24.13,1,21
3.19,49,15000,18.28,1,23
1.15,31,15000,10.12,1,17
1.63,66,15000,17.27,0,21
1.99,2,5000,16.47,1,14
2.28,85,5000,24.88,0,16
1.35,85,25000,29.47,1,24
0.9,73,15000,12.92,1,18
2.64,50,15000,23.14,1,23
1.51,66,5000,3.89,0,8
2.53,75,15000,23.53,1,22
1.04,92,25000,11.77,1,20
2.18,47,25000,2.14,1,21
2.36,16,15000,11.53,0,11
0.68,6,25000,18.71,0,15
1.68,12,25000,4.46,1,18
0.97,65,5000,27.8,0,10
0.72,3,25000,3.25,1,16
3.96,9,15000,27.97,0,23
1.63,87,15000,21.51,1,24
3.33,16,25000,10.56,0,16
1.39,51,15000,12.33,1,19
2.89,5,5000,22.48,0,12
3.16,82,25000,18.44,0,20
2.58,68,25000,20.48,1,25
2.15,95,25000,12.29,1,24
1.94,73,15000,15.15,0,16
1.72,8,15000,29.71,1,19
3.75,90,25000,7.2,1,26
3.41,76,15000,13.12,1,23
3.88,82,15000,9.46,1,23
0.94,20,25000,23.19,0,14
3.06,23,25000,23.16,1,28
3.78,3,15000,9.48,0,13
1.13,23,25000,3.36,0,12
0.73,58,25000,1.33,1,18
3.09,98,25000,13.4,1,23
2.51,2,25000,12.9,0,16
3.45,67,15000,29.66,1,29
0.99,39,25000,14.62,1,19
3.28,47,5000,8.44,0,6
1.21,53,25000,26.85,0,17
1.07,34,5000,15.24,0,10
1.07,94,25000,18.38,1,24
3.35,55,5000,3.77,1,11
2.83,88,5000,12.1,0,11
2.33,39,25000,28.38,0,19
1.76,76,25000,18.1,1,22
3.57,67,25000,10.99,1,23
1.87,45,5000,19.14,1,16
3.36,77,15000,27.4,0,25
2.04,12,15000,8.95,1,15
1.82,26,25000,15.65,1,22
2.12,5,15000,28.8,0,14
1.55,16,15000,6.0,1,12
3.12,35,25000,21.87,0,20
2.26,98,5000,18.82,1,17
1.31,80,25000,20.71,0,19
3.65,1,15000,11.19,0,16
1.84,76,5000,10.1,0,6
2.4,51,15000,20.84,1,21
3.67,65,5000,7.25,1,16
2.68,51,15000,13.17,1,19
0.91,91,25000,6.46,1,22
3.79,42,15000,1.24,0,8
2.7,89,15000,29.13,1,27
1.67,21,5000,13.52,1,12
0.99,54,15000,29.11,0,14
3.28,66,25000,5.07,0,18
2.67,98,25000,18.03,0,23
2.37,59,25000,6.83,0,15
3.63,57,5000,23.91,1,26
3.26,11,5000,23.73,0,16
1.03,87,15000,4.27,1,16
1.59,68,15000,27.45,1,22
1.37,83,15000,6.64,0,11
3.1,38,5000,18.78,0,14
0.62,12,5000,29.58,0,5
2.49,40,15000,26.59,0,15
3.17,56,5000,28.74,0,19
3.57,52,5000,10.94,1,19
1.7,11,25000,4.06,0,15
3.37,12,25000,6.46,1,19
0.89,73,15000,15.51,0,10
3.46,96,15000,24.0,1,33
0.95,56,25000,5.35,1,23
1.89,39,5000,20.13,1,17
3.29,79,15000,10.38,0,12
1.02,44,15000,10.89,0,9
1.3,34,15000,20.2,0,9
3.03,2,5000,14.54,1,18
3.02,4,25000,24.55,1,24
2.74,89,15000,5.52,0,16
2.93,10,25000,23.91,0,21
2.4,70,25000,2.86,1,18
1.38,55,5000,6.63,1,14
1.71,9,5000,20.03,0,9
1.14,33,5000,25.79,0,6
3.68,66,5000,8.33,0,10
2.54,71,5000,10.49,1,18
1.9,30,5000,16.58,1,13
2.12,74,15000,7.14,0,15
3.82,70,25000,24.52,0,26
1.04,65,5000,23.44,0,6
2.55,69,15000,5.21,0,12
2.27,40,25000,14.45,0,14
2.64,62,5000,23.47,1,21
0.56,31,5000,10.78,0,4
3.55,19,15000,19.36,1,22
3.76,56,25000,2.46,1,24
2.48,97,5000,18.65,1,20
2.94,49,25000,5.43,1,23
3.73,79,15000,25.09,1,32
2.98,24,5000,11.31,1,18
1.03,11,25000,9.17,1,16
2.52,70,15000,25.39,1,22
2.62,38,15000,2.45,0,12
1.98,16,5000,12.5,0,8
3.08,44,25000,11.73,0,18
3.77,10,5000,9.26,0,7
3.74,69,5000,27.44,0,20
2.08,22,25000,22.78,1,26
0.9,90,25000,2.85,1,18
3.95,69,25000,21.73,1,33
3.44,37,15000,16.29,1,24
0.94,1,15000,27.13,1,17
3.72,85,25000,10.08,0,20
3.54,83,15000,17.65,0,20
2.32,88,5000,15.52,1,20
2.57,78,25000,15.2,0,21
1.9,92,5000,14.23,0,14
0.69,71,25000,6.96,0,11
1.67,36,5000,22.92,0,11
